ردیف,نام,نام خانوادگی,کد ملی,نوع مقصد,شماره حساب یا شماره کارت,مبلغ واریزی (ریال),شماره پیگیری,تاریخ پرداخت,توضیحات
1,یگانه,اکبری,4537052708,شماره کارت,6276483356480600,25000000,TRX140500001,2026-06-10 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
2,فرهاد,حسینی,3481285957,شماره حساب,11530816108908,40000000,TRX140500002,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
3,بهاره,رحیمی,8449436508,شماره کارت,6037708798206738,60000000,TRX140500003,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
4,روناک,اکبری,7524100035,شماره کارت,5022292166181939,50000000,TRX140500004,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
5,نرگس,طاهری,0473069581,شماره حساب,6864083638888933,35000000,TRX140500005,2026-06-04 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
6,فاطمه,معصومی,4648159756,شماره حساب,9896671082113067,80000000,TRX140500006,2026-06-02 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
7,سینا,موسوی,3162032644,شماره حساب,5842074922594783,40000000,TRX140500007,2026-06-23 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
8,امیر,قاسمی,1316039862,شماره حساب,2452997713921090,35000000,TRX140500008,2026-06-19 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
9,دانیال,رحیمی,9242881465,شماره کارت,6037705512531680,35000000,TRX140500009,2026-06-18 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
10,لیلا,حسینی,9031779776,شماره کارت,6393463349896946,7500000,TRX140500010,2026-06-25 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
11,محمد,صادقی,4430423581,شماره کارت,6037999669078088,15000000,TRX140500011,2026-06-07 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
12,بهاره,کریمی,5860604092,شماره حساب,1462561429438460,80000000,TRX140500012,2026-06-28 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
13,حامد,زارعی,5998995562,شماره حساب,59823520008655,10000000,TRX140500013,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
14,روناک,بهشتی,3451389606,شماره کارت,5892102350173153,80000000,TRX140500014,2026-06-15 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
15,حامد,موسوی,4503533010,شماره کارت,6393469427933428,100000000,TRX140500015,2026-06-09 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
16,لیلا,معصومی,8022853658,شماره حساب,7695518230740554,80000000,TRX140500016,2026-06-12 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
17,یاسر,زارعی,3673915975,شماره کارت,6277604663233619,7500000,TRX140500017,2026-06-26 00:00:00,داده آزمایشی ساختگی برای تست تحلیل فایل بانکی
